age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,previous,poutcome,was_previously_contacted,pdays_clean,y_true,y_pred,prob_yes,correct
49,unknown,married,primary,no,341,yes,yes,unknown,15,may,520,2,0,unknown,0,0,1,0,0.0005272451,0
23,unemployed,single,primary,no,1003,no,no,telephone,27,nov,8,1,0,unknown,0,0,1,0,0.00078604405,0
47,blue-collar,married,secondary,no,182,yes,no,telephone,10,jul,39,1,0,unknown,0,0,1,0,0.0010750637,0
34,technician,married,tertiary,no,197,no,no,cellular,20,aug,78,3,0,unknown,0,0,1,0,0.0011064422,0
53,admin.,single,secondary,no,654,no,no,unknown,10,jul,67,1,0,unknown,0,0,1,0,0.0012272944,0
38,entrepreneur,divorced,secondary,no,1190,yes,no,cellular,4,jun,81,2,3,failure,1,391,1,0,0.001633412,0
40,admin.,married,tertiary,no,764,yes,no,unknown,17,nov,85,1,0,unknown,0,0,1,0,0.002187292,0
45,management,married,tertiary,no,2671,no,no,cellular,14,aug,94,4,0,unknown,0,0,1,0,0.0028743583,0
60,retired,married,secondary,no,18967,yes,no,cellular,29,jan,177,2,0,unknown,0,0,1,0,0.0029010987,0
34,services,single,secondary,no,2,yes,no,cellular,15,may,153,2,0,unknown,0,0,1,0,0.0047746757,0
55,blue-collar,married,secondary,no,196,no,no,cellular,21,aug,81,1,0,unknown,0,0,1,0,0.005379949,0
48,housemaid,single,primary,no,46,no,no,cellular,3,aug,113,2,1,failure,1,180,1,0,0.0078886775,0
58,retired,married,primary,no,1241,no,no,cellular,18,aug,194,2,0,unknown,0,0,1,0,0.010542541,0
31,management,divorced,tertiary,no,414,no,yes,cellular,16,jul,241,1,0,unknown,0,0,1,0,0.010804326,0
27,technician,married,secondary,no,-392,yes,no,cellular,23,jul,228,2,0,unknown,0,0,1,0,0.011671223,0
41,technician,married,tertiary,no,1517,no,no,cellular,8,aug,193,3,0,unknown,0,0,1,0,0.012523867,0
62,unemployed,married,secondary,no,780,no,no,cellular,28,aug,162,2,0,unknown,0,0,1,0,0.015513783,0
56,services,single,secondary,no,-40,yes,no,cellular,15,may,311,1,2,failure,1,368,1,0,0.015652476,0
45,blue-collar,married,primary,no,101,yes,no,unknown,12,may,460,5,0,unknown,0,0,1,0,0.015996607,0
49,admin.,married,secondary,no,3608,yes,no,unknown,13,nov,231,1,0,unknown,0,0,1,0,0.016403047,0
45,entrepreneur,divorced,tertiary,no,-395,yes,no,unknown,13,may,470,1,0,unknown,0,0,1,0,0.017142817,0
36,blue-collar,married,secondary,no,1772,no,no,unknown,5,jun,208,1,0,unknown,0,0,1,0,0.01928082,0
35,blue-collar,married,secondary,no,1055,no,no,unknown,18,nov,150,2,0,unknown,0,0,1,0,0.019754032,0
28,admin.,divorced,secondary,no,785,yes,no,unknown,8,may,442,2,0,unknown,0,0,1,0,0.021061676,0
47,blue-collar,married,unknown,yes,162,no,no,cellular,25,aug,366,3,0,unknown,0,0,1,0,0.021212291,0
36,services,single,unknown,no,281,yes,no,unknown,16,may,515,1,0,unknown,0,0,1,0,0.021557637,0
31,entrepreneur,single,secondary,no,0,no,no,telephone,13,nov,160,1,0,unknown,0,0,1,0,0.021741325,0
55,services,married,secondary,no,2476,yes,no,unknown,5,may,579,1,0,unknown,0,0,1,0,0.02280499,0
60,management,married,secondary,no,544,no,no,cellular,12,jun,95,7,2,failure,1,357,1,0,0.02282292,0
48,management,divorced,tertiary,no,17964,yes,no,cellular,26,may,208,2,3,other,1,96,1,0,0.025876492,0
52,technician,married,secondary,no,137,no,no,cellular,6,jul,227,2,0,unknown,0,0,1,0,0.026621304,0
35,management,single,tertiary,no,18111,no,no,cellular,14,aug,172,4,0,unknown,0,0,1,0,0.027000077,0
26,technician,single,tertiary,no,401,no,no,cellular,5,may,188,2,0,unknown,0,0,1,0,0.027212808,0
33,admin.,married,secondary,no,920,no,no,cellular,16,nov,130,1,2,failure,1,95,1,0,0.0340798,0
60,self-employed,married,tertiary,no,10861,no,no,cellular,9,nov,98,1,2,failure,1,91,1,0,0.034498934,0
39,blue-collar,single,tertiary,no,172,yes,no,cellular,9,feb,125,2,2,failure,1,183,1,0,0.034703206,0
41,admin.,married,primary,no,-306,yes,no,unknown,15,may,500,1,0,unknown,0,0,1,0,0.037588116,0
29,admin.,single,secondary,no,1027,yes,no,cellular,2,feb,177,1,0,unknown,0,0,1,0,0.038014706,0
46,unemployed,single,tertiary,no,44,no,no,cellular,14,aug,225,1,0,unknown,0,0,1,0,0.0394779,0
30,blue-collar,married,secondary,no,167,yes,no,cellular,10,jul,255,1,0,unknown,0,0,1,0,0.03979971,0
38,management,married,tertiary,no,119,yes,no,unknown,13,may,568,4,0,unknown,0,0,1,0,0.042327095,0
56,management,married,primary,no,870,no,no,cellular,16,nov,257,1,0,unknown,0,0,1,0,0.043024365,0
49,technician,married,tertiary,no,1235,no,no,cellular,13,aug,354,3,0,unknown,0,0,1,0,0.043271206,0
35,management,single,tertiary,no,1756,no,no,cellular,20,aug,195,1,0,unknown,0,0,1,0,0.04554953,0
53,management,divorced,tertiary,no,2679,no,no,cellular,20,nov,295,3,0,unknown,0,0,1,0,0.045775693,0
30,self-employed,single,tertiary,no,432,yes,no,cellular,2,feb,402,1,0,unknown,0,0,1,0,0.047563307,0
53,blue-collar,married,primary,yes,-462,no,no,cellular,29,jan,470,1,0,unknown,0,0,1,0,0.049999945,0
25,technician,single,tertiary,no,1231,no,no,cellular,31,aug,271,2,0,unknown,0,0,1,0,0.05055587,0
40,technician,single,tertiary,no,1646,yes,no,cellular,2,feb,215,1,2,failure,1,242,1,0,0.051976107,0
38,entrepreneur,single,secondary,no,2543,no,no,cellular,10,aug,223,1,4,failure,1,414,1,0,0.052567966,0
37,blue-collar,married,unknown,no,1508,no,yes,unknown,6,jun,381,2,0,unknown,0,0,1,0,0.052709617,0
46,technician,married,secondary,no,2149,yes,no,cellular,15,apr,282,2,0,unknown,0,0,1,0,0.05403095,0
34,technician,married,secondary,no,390,yes,no,cellular,27,mar,95,2,2,failure,1,231,1,0,0.056733105,0
35,admin.,married,secondary,no,898,yes,no,cellular,9,apr,214,1,0,unknown,0,0,1,0,0.0572529,0
27,blue-collar,married,primary,no,-413,no,yes,unknown,27,jun,422,6,0,unknown,0,0,1,0,0.05929975,0
33,technician,single,tertiary,no,258,no,no,cellular,12,mar,80,4,0,unknown,0,0,1,0,0.06018731,0
55,technician,divorced,tertiary,no,0,no,no,cellular,18,aug,237,1,0,unknown,0,0,1,0,0.060608104,0
30,management,married,tertiary,no,1942,yes,yes,cellular,21,nov,436,2,3,other,1,178,1,0,0.062784865,0
34,blue-collar,married,secondary,no,496,yes,no,cellular,13,may,333,1,0,unknown,0,0,1,0,0.063293055,0
29,technician,married,secondary,no,1180,yes,no,cellular,17,apr,367,3,3,failure,1,323,1,0,0.06422567,0
30,student,single,tertiary,no,228,yes,no,cellular,13,may,314,2,0,unknown,0,0,1,0,0.0650604,0
47,unemployed,married,primary,no,324,no,no,cellular,21,nov,462,2,0,unknown,0,0,1,0,0.06838079,0
46,management,married,unknown,no,2466,no,no,telephone,1,apr,216,3,1,failure,1,370,1,0,0.06868437,0
37,entrepreneur,single,secondary,no,-22,yes,no,cellular,15,may,317,1,0,unknown,0,0,1,0,0.06971457,0
43,management,married,tertiary,no,2640,no,no,cellular,21,nov,314,4,0,unknown,0,0,1,0,0.06979229,0
77,unknown,married,unknown,no,397,no,no,telephone,7,may,300,3,0,unknown,0,0,1,0,0.07228953,0
31,technician,single,tertiary,no,252,no,no,cellular,8,jun,107,3,0,unknown,0,0,1,0,0.07229645,0
28,management,married,secondary,no,292,yes,no,unknown,28,may,507,1,0,unknown,0,0,1,0,0.07483095,0
32,technician,single,tertiary,no,550,no,no,cellular,19,nov,337,1,0,unknown,0,0,1,0,0.07579252,0
34,admin.,married,secondary,no,0,yes,no,cellular,10,feb,97,1,1,failure,1,85,1,0,0.0765816,0
59,services,divorced,secondary,no,1,yes,no,cellular,28,jan,602,1,5,other,1,253,1,0,0.07707812,0
50,blue-collar,married,primary,no,4979,no,no,telephone,6,apr,180,1,0,unknown,0,0,1,0,0.07798782,0
31,management,single,secondary,no,202,yes,no,cellular,8,jul,167,1,1,failure,1,62,1,0,0.07834901,0
54,admin.,married,secondary,no,66,yes,no,cellular,11,nov,167,1,0,unknown,0,0,1,0,0.079625174,0
26,management,single,tertiary,no,828,yes,no,cellular,17,aug,156,1,1,failure,1,199,1,0,0.08191309,0
24,blue-collar,single,secondary,no,9883,no,no,cellular,8,jul,210,5,0,unknown,0,0,1,0,0.08337731,0
33,management,married,tertiary,no,22867,yes,no,cellular,10,nov,266,2,3,failure,1,92,1,0,0.084109806,0
29,housemaid,single,tertiary,no,2196,no,no,cellular,5,aug,215,1,0,unknown,0,0,1,0,0.084336974,0
35,unemployed,single,primary,no,68,no,no,cellular,3,jul,175,1,0,unknown,0,0,1,0,0.08599912,0
58,unknown,married,unknown,no,68,no,no,cellular,2,apr,268,1,0,unknown,0,0,1,0,0.086303726,0
