age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,previous,poutcome,was_previously_contacted,pdays_clean,y_true,y_pred,prob_yes,correct
27,admin.,married,tertiary,no,73,no,no,cellular,30,apr,374,1,1,success,1,79,0,1,0.9070731,0
39,management,married,tertiary,no,2939,no,no,cellular,29,jun,385,1,2,success,1,165,0,1,0.89812636,0
38,unemployed,married,tertiary,no,2812,yes,no,cellular,3,nov,322,1,1,success,1,187,0,1,0.88283366,0
68,retired,married,tertiary,no,2820,no,no,cellular,5,mar,158,1,3,success,1,92,0,1,0.87640285,0
57,admin.,married,secondary,no,169,no,no,cellular,30,apr,319,1,1,success,1,86,0,1,0.87134695,0
57,services,married,secondary,no,2476,yes,no,cellular,7,aug,239,1,1,success,1,459,0,1,0.8710398,0
37,technician,married,secondary,no,1458,no,no,cellular,22,mar,344,1,1,success,1,326,0,1,0.8647138,0
47,management,married,tertiary,no,699,no,no,cellular,5,aug,432,3,2,success,1,97,0,1,0.86001337,0
76,retired,married,tertiary,no,2991,no,no,cellular,25,jan,195,1,2,success,1,95,0,1,0.8596718,0
56,admin.,married,unknown,no,2038,no,no,cellular,8,feb,405,1,1,success,1,305,0,1,0.8580961,0
60,technician,married,secondary,no,1740,no,no,cellular,1,jun,814,1,2,success,1,80,0,1,0.84412724,0
38,admin.,married,secondary,no,755,yes,no,cellular,25,may,531,1,1,success,1,97,0,1,0.8440074,0
33,admin.,single,secondary,no,206,yes,no,cellular,15,mar,287,2,0,unknown,0,0,0,1,0.8403951,0
48,admin.,married,secondary,no,2533,no,no,cellular,29,apr,714,2,1,failure,1,633,0,1,0.8319517,0
28,student,single,secondary,no,1925,no,no,cellular,26,feb,139,1,3,success,1,93,0,1,0.81449455,0
36,unemployed,single,secondary,no,851,no,no,cellular,2,jun,368,2,0,unknown,0,0,0,1,0.81251615,0
38,technician,married,tertiary,no,3234,no,no,cellular,8,apr,281,1,2,success,1,141,0,1,0.81074876,0
37,services,married,secondary,no,1960,yes,yes,cellular,15,oct,246,5,0,unknown,0,0,0,1,0.8060244,0
32,services,married,secondary,no,2833,yes,no,cellular,30,mar,415,1,0,unknown,0,0,0,1,0.79795617,0
46,self-employed,single,secondary,no,526,no,no,cellular,4,aug,326,1,3,success,1,96,0,1,0.7960349,0
32,management,single,tertiary,no,1619,no,no,cellular,17,mar,184,1,2,success,1,321,0,1,0.7841159,0
45,management,married,tertiary,no,273,yes,no,cellular,27,feb,94,2,0,unknown,0,0,0,1,0.7828409,0
60,admin.,married,secondary,no,12980,no,no,cellular,3,sep,177,2,1,success,1,182,0,1,0.78018355,0
83,retired,married,tertiary,no,4761,no,no,telephone,9,jun,294,2,1,success,1,93,0,1,0.7798754,0
32,unemployed,single,tertiary,no,685,yes,no,cellular,29,oct,262,1,1,other,1,204,0,1,0.7798034,0
34,management,married,tertiary,no,1778,no,no,cellular,5,feb,99,1,3,success,1,93,0,1,0.76480424,0
55,admin.,divorced,secondary,no,1693,no,no,cellular,10,aug,247,1,3,success,1,102,0,1,0.763139,0
24,student,single,primary,no,474,no,no,cellular,12,aug,249,1,1,success,1,104,0,1,0.7622967,0
50,housemaid,married,secondary,no,388,no,no,cellular,8,jun,152,2,2,success,1,89,0,1,0.756376,0
32,management,single,tertiary,no,2846,yes,no,cellular,30,oct,160,1,0,unknown,0,0,0,1,0.75636476,0
28,unemployed,single,secondary,no,304,no,no,cellular,14,jun,516,1,0,unknown,0,0,0,1,0.7549809,0
27,technician,married,secondary,no,317,yes,yes,cellular,15,may,1286,1,0,unknown,0,0,0,1,0.7548829,0
33,admin.,married,secondary,no,1737,no,no,cellular,30,apr,524,2,0,unknown,0,0,0,1,0.754165,0
34,technician,married,secondary,no,657,no,no,cellular,5,jun,263,2,0,unknown,0,0,0,1,0.75075454,0
28,management,single,tertiary,no,2380,no,no,cellular,14,sep,394,2,0,unknown,0,0,0,1,0.7505795,0
24,services,single,tertiary,no,1385,yes,no,unknown,28,may,1277,2,0,unknown,0,0,0,1,0.7499096,0
32,management,married,tertiary,no,6138,no,no,cellular,30,apr,211,2,7,success,1,196,0,1,0.7493103,0
38,management,single,tertiary,no,4841,no,no,cellular,22,may,580,3,0,unknown,0,0,0,1,0.7460528,0
65,retired,married,unknown,no,679,no,no,cellular,13,may,593,2,1,success,1,178,0,1,0.7344798,0
60,admin.,married,secondary,no,7336,no,no,cellular,31,mar,494,1,0,unknown,0,0,0,1,0.73392916,0
34,management,single,tertiary,no,2561,no,no,cellular,29,dec,554,1,0,unknown,0,0,0,1,0.72793967,0
28,technician,single,secondary,no,126,no,no,cellular,3,mar,229,1,0,unknown,0,0,0,1,0.72537667,0
51,admin.,married,tertiary,no,0,yes,yes,cellular,15,jun,177,4,2,success,1,99,0,1,0.72519034,0
33,management,married,tertiary,no,982,no,no,unknown,4,jun,735,17,0,unknown,0,0,0,1,0.7184291,0
58,management,married,tertiary,no,2764,no,no,cellular,1,jun,459,1,1,failure,1,196,0,1,0.7182232,0
29,management,single,tertiary,no,1351,no,no,cellular,11,mar,228,1,1,failure,1,91,0,1,0.7160109,0
23,technician,single,unknown,no,314,no,no,cellular,30,apr,666,1,0,unknown,0,0,0,1,0.7150578,0
28,admin.,single,tertiary,no,313,no,yes,cellular,26,jul,461,2,4,failure,1,326,0,1,0.71152645,0
38,self-employed,divorced,tertiary,no,6447,no,no,cellular,12,jan,296,1,0,unknown,0,0,0,1,0.7088395,0
38,unemployed,married,secondary,no,1604,no,no,unknown,20,jun,1276,1,0,unknown,0,0,0,1,0.70821834,0
31,management,single,tertiary,no,9874,yes,no,unknown,23,may,1222,5,0,unknown,0,0,0,1,0.6991485,0
31,self-employed,married,tertiary,no,0,yes,no,cellular,30,jul,1037,24,0,unknown,0,0,0,1,0.69734687,0
40,technician,married,secondary,no,4298,no,no,cellular,2,jun,221,1,0,unknown,0,0,0,1,0.6969315,0
37,admin.,married,secondary,no,3427,no,no,cellular,27,feb,46,1,0,unknown,0,0,0,1,0.69282657,0
32,management,single,tertiary,no,19985,no,no,cellular,9,feb,616,5,0,unknown,0,0,0,1,0.6867867,0
28,management,divorced,secondary,no,-76,no,yes,cellular,14,jul,1271,2,0,unknown,0,0,0,1,0.6852417,0
61,management,married,tertiary,no,13546,no,no,cellular,25,jan,318,2,3,success,1,283,0,1,0.6851196,0
61,retired,married,secondary,no,2011,no,no,cellular,22,jun,292,1,2,failure,1,578,0,1,0.68458104,0
50,management,married,tertiary,no,8205,yes,no,telephone,25,oct,293,3,1,other,1,508,0,1,0.68042016,0
42,blue-collar,married,secondary,no,-355,yes,yes,unknown,5,jun,939,6,0,unknown,0,0,0,1,0.6802083,0
32,blue-collar,divorced,secondary,no,0,yes,no,unknown,2,jun,746,2,0,unknown,0,0,0,1,0.67978066,0
41,admin.,married,secondary,no,1021,no,no,cellular,2,jun,224,1,0,unknown,0,0,0,1,0.6783749,0
50,management,married,tertiary,no,2881,no,no,cellular,5,aug,510,2,5,other,1,2,0,1,0.676224,0
48,technician,married,secondary,no,3519,no,yes,cellular,26,feb,229,1,2,failure,1,60,0,1,0.67617804,0
37,management,married,tertiary,no,165,no,no,cellular,24,aug,315,1,1,other,1,83,0,1,0.6722452,0
51,management,married,tertiary,no,994,no,no,cellular,28,may,414,3,0,unknown,0,0,0,1,0.66740394,0
40,management,married,tertiary,no,8963,no,no,cellular,3,jun,203,2,0,unknown,0,0,0,1,0.6670146,0
32,services,single,secondary,no,358,yes,no,unknown,16,may,1144,3,0,unknown,0,0,0,1,0.6666139,0
36,management,married,tertiary,no,82,no,no,cellular,2,feb,124,1,4,success,1,178,0,1,0.6640179,0
39,management,married,tertiary,no,4539,no,no,cellular,30,apr,301,1,0,unknown,0,0,0,1,0.6632146,0
37,services,married,primary,no,0,yes,no,cellular,12,may,631,1,1,success,1,344,0,1,0.66237235,0
49,technician,married,secondary,no,305,no,no,cellular,30,apr,401,1,0,unknown,0,0,0,1,0.66199845,0
36,admin.,single,secondary,no,0,no,no,cellular,20,apr,637,1,0,unknown,0,0,0,1,0.6568033,0
41,management,divorced,tertiary,no,3426,no,no,cellular,1,oct,302,1,5,success,1,119,0,1,0.6546964,0
