age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,previous,poutcome,was_previously_contacted,pdays_clean,y_true,y_pred,prob_yes,correct
23,unemployed,single,primary,no,1003,no,no,telephone,27,nov,8,1,0,unknown,0,0,1,0,0.00034369345,0
49,unknown,married,primary,no,341,yes,yes,unknown,15,may,520,2,0,unknown,0,0,1,0,0.002347064,0
34,technician,married,tertiary,no,197,no,no,cellular,20,aug,78,3,0,unknown,0,0,1,0,0.0024812247,0
47,blue-collar,married,secondary,no,182,yes,no,telephone,10,jul,39,1,0,unknown,0,0,1,0,0.0046463087,0
45,management,married,tertiary,no,2671,no,no,cellular,14,aug,94,4,0,unknown,0,0,1,0,0.0055925166,0
55,blue-collar,married,secondary,no,196,no,no,cellular,21,aug,81,1,0,unknown,0,0,1,0,0.0062399562,0
38,entrepreneur,divorced,secondary,no,1190,yes,no,cellular,4,jun,81,2,3,failure,1,391,1,0,0.0067319507,0
53,admin.,single,secondary,no,654,no,no,unknown,10,jul,67,1,0,unknown,0,0,1,0,0.007786148,0
58,retired,married,primary,no,1241,no,no,cellular,18,aug,194,2,0,unknown,0,0,1,0,0.013706414,0
48,housemaid,single,primary,no,46,no,no,cellular,3,aug,113,2,1,failure,1,180,1,0,0.015661627,0
31,entrepreneur,single,secondary,no,0,no,no,telephone,13,nov,160,1,0,unknown,0,0,1,0,0.017824454,0
31,management,divorced,tertiary,no,414,no,yes,cellular,16,jul,241,1,0,unknown,0,0,1,0,0.018108716,0
27,technician,married,secondary,no,-392,yes,no,cellular,23,jul,228,2,0,unknown,0,0,1,0,0.019347124,0
40,admin.,married,tertiary,no,764,yes,no,unknown,17,nov,85,1,0,unknown,0,0,1,0,0.019377869,0
37,blue-collar,married,unknown,no,1508,no,yes,unknown,6,jun,381,2,0,unknown,0,0,1,0,0.020014558,0
60,retired,married,secondary,no,18967,yes,no,cellular,29,jan,177,2,0,unknown,0,0,1,0,0.020351369,0
35,blue-collar,married,secondary,no,1055,no,no,unknown,18,nov,150,2,0,unknown,0,0,1,0,0.031557526,0
34,services,single,secondary,no,2,yes,no,cellular,15,may,153,2,0,unknown,0,0,1,0,0.03592551,0
47,blue-collar,married,unknown,yes,162,no,no,cellular,25,aug,366,3,0,unknown,0,0,1,0,0.043802217,0
36,blue-collar,married,secondary,no,1772,no,no,unknown,5,jun,208,1,0,unknown,0,0,1,0,0.04397147,0
60,self-employed,married,tertiary,no,10861,no,no,cellular,9,nov,98,1,2,failure,1,91,1,0,0.048881907,0
41,technician,married,tertiary,no,1517,no,no,cellular,8,aug,193,3,0,unknown,0,0,1,0,0.05065497,0
62,unemployed,married,secondary,no,780,no,no,cellular,28,aug,162,2,0,unknown,0,0,1,0,0.050838955,0
45,entrepreneur,divorced,tertiary,no,-395,yes,no,unknown,13,may,470,1,0,unknown,0,0,1,0,0.060546838,0
35,management,single,tertiary,no,18111,no,no,cellular,14,aug,172,4,0,unknown,0,0,1,0,0.061168615,0
60,management,married,secondary,no,544,no,no,cellular,12,jun,95,7,2,failure,1,357,1,0,0.06538713,0
33,admin.,married,secondary,no,920,no,no,cellular,16,nov,130,1,2,failure,1,95,1,0,0.072018065,0
45,blue-collar,married,primary,no,101,yes,no,unknown,12,may,460,5,0,unknown,0,0,1,0,0.08160196,0
27,blue-collar,married,primary,no,-413,no,yes,unknown,27,jun,422,6,0,unknown,0,0,1,0,0.09264135,0
38,admin.,married,secondary,no,47,yes,no,cellular,4,may,288,5,0,unknown,0,0,1,0,0.12045138,0
37,entrepreneur,single,secondary,no,-22,yes,no,cellular,15,may,317,1,0,unknown,0,0,1,0,0.12503082,0
36,services,single,unknown,no,281,yes,no,unknown,16,may,515,1,0,unknown,0,0,1,0,0.12908486,0
39,blue-collar,single,tertiary,no,172,yes,no,cellular,9,feb,125,2,2,failure,1,183,1,0,0.13406236,0
30,management,married,tertiary,no,1942,yes,yes,cellular,21,nov,436,2,3,other,1,178,1,0,0.13445002,0
41,admin.,married,primary,no,-306,yes,no,unknown,15,may,500,1,0,unknown,0,0,1,0,0.14603414,0
53,management,divorced,tertiary,no,2679,no,no,cellular,20,nov,295,3,0,unknown,0,0,1,0,0.14712955,0
34,technician,married,secondary,no,390,yes,no,cellular,27,mar,95,2,2,failure,1,231,1,0,0.14831632,0
35,housemaid,married,tertiary,no,1265,yes,no,cellular,15,may,326,5,4,failure,1,179,1,0,0.15363067,0
31,management,single,secondary,no,202,yes,no,cellular,8,jul,167,1,1,failure,1,62,1,0,0.15986697,0
53,blue-collar,married,primary,yes,-462,no,no,cellular,29,jan,470,1,0,unknown,0,0,1,0,0.16757715,0
48,management,divorced,tertiary,no,17964,yes,no,cellular,26,may,208,2,3,other,1,96,1,0,0.16760883,0
30,blue-collar,married,secondary,no,167,yes,no,cellular,10,jul,255,1,0,unknown,0,0,1,0,0.1754015,0
56,services,single,secondary,no,-40,yes,no,cellular,15,may,311,1,2,failure,1,368,1,0,0.17669332,0
35,management,single,tertiary,no,1756,no,no,cellular,20,aug,195,1,0,unknown,0,0,1,0,0.17784742,0
46,unemployed,single,tertiary,no,44,no,no,cellular,14,aug,225,1,0,unknown,0,0,1,0,0.18799517,0
74,retired,married,secondary,no,935,no,no,cellular,5,may,226,1,2,failure,1,99,1,0,0.19174385,0
28,admin.,divorced,secondary,no,785,yes,no,unknown,8,may,442,2,0,unknown,0,0,1,0,0.19581462,0
35,admin.,married,secondary,no,898,yes,no,cellular,9,apr,214,1,0,unknown,0,0,1,0,0.20208713,0
30,self-employed,single,tertiary,no,432,yes,no,cellular,2,feb,402,1,0,unknown,0,0,1,0,0.20476,0
52,technician,married,secondary,no,137,no,no,cellular,6,jul,227,2,0,unknown,0,0,1,0,0.21170092,0
54,admin.,married,secondary,no,66,yes,no,cellular,11,nov,167,1,0,unknown,0,0,1,0,0.2184229,0
43,management,married,tertiary,no,2640,no,no,cellular,21,nov,314,4,0,unknown,0,0,1,0,0.22203839,0
29,admin.,single,secondary,no,1027,yes,no,cellular,2,feb,177,1,0,unknown,0,0,1,0,0.22279978,0
36,technician,married,tertiary,no,202,no,no,cellular,29,jan,313,1,3,failure,1,120,1,0,0.22809562,0
49,admin.,married,secondary,no,3608,yes,no,unknown,13,nov,231,1,0,unknown,0,0,1,0,0.22822414,0
47,unemployed,married,primary,no,324,no,no,cellular,21,nov,462,2,0,unknown,0,0,1,0,0.23075151,0
56,management,married,primary,no,870,no,no,cellular,16,nov,257,1,0,unknown,0,0,1,0,0.24235056,0
31,management,single,tertiary,no,825,yes,no,unknown,21,may,506,2,0,unknown,0,0,1,0,0.24448441,0
28,management,married,secondary,no,292,yes,no,unknown,28,may,507,1,0,unknown,0,0,1,0,0.2563558,0
34,blue-collar,married,secondary,no,496,yes,no,cellular,13,may,333,1,0,unknown,0,0,1,0,0.26489952,0
46,technician,married,secondary,no,2149,yes,no,cellular,15,apr,282,2,0,unknown,0,0,1,0,0.26859224,0
57,blue-collar,married,unknown,no,3585,no,no,telephone,14,nov,172,1,0,unknown,0,0,1,0,0.27310106,0
29,housemaid,single,tertiary,no,2196,no,no,cellular,5,aug,215,1,0,unknown,0,0,1,0,0.29172269,0
55,services,married,secondary,no,2476,yes,no,unknown,5,may,579,1,0,unknown,0,0,1,0,0.29449522,0
38,management,single,tertiary,no,619,yes,no,unknown,6,jun,460,4,0,unknown,0,0,1,0,0.30225438,0
53,retired,married,secondary,no,665,yes,no,cellular,22,apr,371,2,0,unknown,0,0,1,0,0.30631962,0
53,blue-collar,married,secondary,no,6112,no,no,cellular,3,feb,211,1,0,unknown,0,0,1,0,0.30915254,0
46,blue-collar,married,secondary,no,640,yes,no,cellular,11,sep,108,2,2,failure,1,129,1,0,0.310416,0
40,technician,single,tertiary,no,1646,yes,no,cellular,2,feb,215,1,2,failure,1,242,1,0,0.31052208,0
29,technician,single,secondary,no,590,no,no,cellular,25,may,124,1,0,unknown,0,0,1,0,0.32025757,0
38,management,married,tertiary,no,119,yes,no,unknown,13,may,568,4,0,unknown,0,0,1,0,0.3286666,0
47,retired,married,primary,no,1374,no,yes,telephone,8,may,479,2,3,failure,1,359,1,0,0.33210048,0
58,entrepreneur,married,secondary,no,496,no,no,cellular,22,apr,132,1,0,unknown,0,0,1,0,0.33250222,0
29,technician,married,secondary,no,1180,yes,no,cellular,17,apr,367,3,3,failure,1,323,1,0,0.33405915,0
52,retired,divorced,primary,no,-779,yes,yes,cellular,17,apr,709,1,0,unknown,0,0,1,0,0.33617914,0
36,admin.,divorced,secondary,no,-811,yes,no,cellular,12,may,365,2,0,unknown,0,0,1,0,0.33878803,0
32,services,single,secondary,no,3993,no,no,cellular,22,may,148,2,0,unknown,0,0,1,0,0.3399775,0
