age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,previous,poutcome,was_previously_contacted,pdays_clean,y_true,y_pred,prob_yes,correct
60,technician,married,secondary,no,1740,no,no,cellular,1,jun,814,1,2,success,1,80,0,1,0.9738788,0
39,management,married,tertiary,no,2939,no,no,cellular,29,jun,385,1,2,success,1,165,0,1,0.9658743,0
68,retired,married,tertiary,no,2820,no,no,cellular,5,mar,158,1,3,success,1,92,0,1,0.9635554,0
57,services,married,secondary,no,2476,yes,no,cellular,7,aug,239,1,1,success,1,459,0,1,0.9601283,0
27,admin.,married,tertiary,no,73,no,no,cellular,30,apr,374,1,1,success,1,79,0,1,0.95247984,0
44,technician,single,unknown,no,11115,no,no,cellular,25,oct,189,1,4,success,1,185,0,1,0.9493813,0
30,blue-collar,single,unknown,no,694,yes,yes,cellular,18,may,599,1,4,success,1,306,0,1,0.94864047,0
28,student,single,secondary,no,1925,no,no,cellular,26,feb,139,1,3,success,1,93,0,1,0.9472451,0
32,management,married,tertiary,no,6138,no,no,cellular,30,apr,211,2,7,success,1,196,0,1,0.9449354,0
60,admin.,married,secondary,no,7336,no,no,cellular,31,mar,494,1,0,unknown,0,0,0,1,0.94268876,0
61,management,married,tertiary,no,13546,no,no,cellular,25,jan,318,2,3,success,1,283,0,1,0.94050264,0
46,self-employed,single,secondary,no,526,no,no,cellular,4,aug,326,1,3,success,1,96,0,1,0.94045687,0
56,admin.,married,unknown,no,2038,no,no,cellular,8,feb,405,1,1,success,1,305,0,1,0.9403174,0
47,management,married,tertiary,no,699,no,no,cellular,5,aug,432,3,2,success,1,97,0,1,0.94026,0
32,management,single,tertiary,no,1619,no,no,cellular,17,mar,184,1,2,success,1,321,0,1,0.939978,0
36,blue-collar,single,primary,no,1959,yes,no,cellular,13,may,1966,1,0,unknown,0,0,0,1,0.93674546,0
37,services,married,primary,no,0,yes,no,cellular,12,may,631,1,1,success,1,344,0,1,0.9356638,0
29,blue-collar,married,secondary,no,3310,no,no,cellular,2,jun,344,2,2,failure,1,117,0,1,0.93496144,0
24,student,single,primary,no,474,no,no,cellular,12,aug,249,1,1,success,1,104,0,1,0.93352836,0
37,technician,married,secondary,no,1458,no,no,cellular,22,mar,344,1,1,success,1,326,0,1,0.9333246,0
34,management,married,tertiary,no,250,no,no,cellular,9,dec,787,1,8,other,1,188,0,1,0.932196,0
38,admin.,married,secondary,no,755,yes,no,cellular,25,may,531,1,1,success,1,97,0,1,0.93047494,0
57,admin.,married,secondary,no,169,no,no,cellular,30,apr,319,1,1,success,1,86,0,1,0.9294746,0
30,technician,single,secondary,no,1532,no,no,cellular,23,sep,447,1,6,failure,1,489,0,1,0.9283259,0
36,self-employed,married,tertiary,no,980,no,no,cellular,24,sep,349,2,8,failure,1,53,0,1,0.9277585,0
41,management,divorced,tertiary,no,3426,no,no,cellular,1,oct,302,1,5,success,1,119,0,1,0.92670083,0
36,unemployed,single,secondary,no,851,no,no,cellular,2,jun,368,2,0,unknown,0,0,0,1,0.92615193,0
43,admin.,single,secondary,no,386,no,no,cellular,12,oct,242,1,4,success,1,92,0,1,0.92575204,0
47,management,married,tertiary,no,1122,no,no,cellular,24,dec,956,1,0,unknown,0,0,0,1,0.92419046,0
61,retired,married,secondary,no,2011,no,no,cellular,22,jun,292,1,2,failure,1,578,0,1,0.92339504,0
46,unemployed,married,secondary,no,1040,no,no,telephone,12,aug,542,1,5,failure,1,78,0,1,0.9233228,0
34,management,single,tertiary,no,2561,no,no,cellular,29,dec,554,1,0,unknown,0,0,0,1,0.9216364,0
55,admin.,divorced,secondary,no,1693,no,no,cellular,10,aug,247,1,3,success,1,102,0,1,0.9207115,0
38,unemployed,married,tertiary,no,2812,yes,no,cellular,3,nov,322,1,1,success,1,187,0,1,0.9199338,0
83,retired,married,tertiary,no,4761,no,no,telephone,9,jun,294,2,1,success,1,93,0,1,0.91877013,0
28,unemployed,single,secondary,no,304,no,no,cellular,14,jun,516,1,0,unknown,0,0,0,1,0.9178281,0
23,technician,single,unknown,no,314,no,no,cellular,30,apr,666,1,0,unknown,0,0,0,1,0.9162575,0
65,retired,married,unknown,no,679,no,no,cellular,13,may,593,2,1,success,1,178,0,1,0.915804,0
40,services,married,secondary,no,0,yes,no,cellular,2,jun,297,1,3,failure,1,28,0,1,0.91560733,0
33,admin.,single,secondary,no,206,yes,no,cellular,15,mar,287,2,0,unknown,0,0,0,1,0.9153849,0
70,retired,married,primary,no,3782,no,no,cellular,16,mar,618,1,0,unknown,0,0,0,1,0.91482186,0
36,blue-collar,married,secondary,no,2454,yes,no,cellular,6,apr,1859,1,0,unknown,0,0,0,1,0.91473514,0
45,unknown,single,secondary,no,0,no,no,unknown,18,jun,1487,1,0,unknown,0,0,0,1,0.9113537,0
25,student,single,secondary,no,703,no,no,cellular,5,may,1100,3,0,unknown,0,0,0,1,0.9111066,0
33,technician,single,secondary,no,781,yes,no,cellular,3,jun,266,1,1,failure,1,27,0,1,0.9110204,0
32,unemployed,single,tertiary,no,685,yes,no,cellular,29,oct,262,1,1,other,1,204,0,1,0.9102224,0
29,services,single,secondary,no,79,yes,no,cellular,6,may,811,1,3,other,1,334,0,1,0.909469,0
50,management,married,tertiary,no,2881,no,no,cellular,5,aug,510,2,5,other,1,2,0,1,0.9079727,0
54,blue-collar,married,secondary,no,21,no,no,cellular,15,jun,439,1,0,unknown,0,0,0,1,0.9075249,0
32,management,married,secondary,no,625,yes,no,cellular,2,jun,352,1,2,failure,1,56,0,1,0.90687734,0
38,technician,married,tertiary,no,3234,no,no,cellular,8,apr,281,1,2,success,1,141,0,1,0.9066484,0
28,admin.,single,tertiary,no,313,no,yes,cellular,26,jul,461,2,4,failure,1,326,0,1,0.9056484,0
50,housemaid,married,secondary,no,388,no,no,cellular,8,jun,152,2,2,success,1,89,0,1,0.90551317,0
27,technician,married,secondary,no,317,yes,yes,cellular,15,may,1286,1,0,unknown,0,0,0,1,0.9054023,0
24,services,single,tertiary,no,1385,yes,no,unknown,28,may,1277,2,0,unknown,0,0,0,1,0.9039885,0
28,management,divorced,secondary,no,-76,no,yes,cellular,14,jul,1271,2,0,unknown,0,0,0,1,0.90354717,0
58,management,married,tertiary,no,2764,no,no,cellular,1,jun,459,1,1,failure,1,196,0,1,0.90301853,0
28,technician,single,secondary,no,126,no,no,cellular,3,mar,229,1,0,unknown,0,0,0,1,0.9009274,0
36,admin.,single,secondary,no,0,no,no,cellular,20,apr,637,1,0,unknown,0,0,0,1,0.90080905,0
28,management,single,tertiary,no,2380,no,no,cellular,14,sep,394,2,0,unknown,0,0,0,1,0.89936876,0
33,admin.,married,secondary,no,1737,no,no,cellular,30,apr,524,2,0,unknown,0,0,0,1,0.89856106,0
55,management,married,tertiary,no,13578,no,no,cellular,29,oct,247,2,0,unknown,0,0,0,1,0.897805,0
26,management,single,tertiary,no,1370,no,no,cellular,25,mar,231,1,1,other,1,295,0,1,0.8973907,0
35,management,married,tertiary,no,1550,yes,no,unknown,29,may,1611,2,0,unknown,0,0,0,1,0.8972726,0
25,student,single,unknown,no,2503,no,no,cellular,26,feb,100,2,0,unknown,0,0,0,1,0.8969445,0
33,management,single,tertiary,no,576,no,no,cellular,2,nov,144,1,0,unknown,0,0,0,1,0.89657265,0
