Model,y_true,y_pred,prob_yes,correct,uncertainty_score,is_ambiguous,distance_to_0_5
Improved MLP,0,1,0.5001012,0,0.00010120869,1,0.00010120869
Improved MLP,0,1,0.50027466,0,0.0002746582,1,0.0002746582
Improved MLP,0,0,0.4994952,1,0.00050479174,1,0.00050479174
Improved MLP,0,0,0.49924472,1,0.00075528026,1,0.00075528026
Improved MLP,1,0,0.49917746,0,0.0008225441,1,0.0008225441
Improved MLP,0,0,0.49910742,1,0.00089257956,1,0.00089257956
Improved MLP,1,1,0.5016602,1,0.0016602278,1,0.0016602278
Improved MLP,1,1,0.5017557,1,0.0017557144,1,0.0017557144
Improved MLP,0,0,0.49786216,1,0.0021378398,1,0.0021378398
Improved MLP,0,1,0.5022416,0,0.0022416115,1,0.0022416115
Improved MLP,0,1,0.5022953,0,0.0022953153,1,0.0022953153
Improved MLP,0,0,0.49760556,1,0.0023944378,1,0.0023944378
Improved MLP,0,1,0.5025094,0,0.0025094151,1,0.0025094151
Improved MLP,0,0,0.49736613,1,0.0026338696,1,0.0026338696
Improved MLP,0,0,0.49711892,1,0.00288108,1,0.00288108
Improved MLP,0,1,0.50311077,0,0.0031107664,1,0.0031107664
Improved MLP,0,1,0.5035489,0,0.0035489202,1,0.0035489202
Improved MLP,1,1,0.5040293,1,0.004029274,1,0.004029274
Improved MLP,0,0,0.4953652,1,0.0046347976,1,0.0046347976
Improved MLP,0,1,0.5048379,0,0.0048378706,1,0.0048378706
Improved MLP,0,1,0.5049026,0,0.0049026012,1,0.0049026012
Improved MLP,0,0,0.49452323,1,0.005476773,1,0.005476773
Improved MLP,0,1,0.50557697,0,0.005576968,1,0.005576968
Improved MLP,0,1,0.50567746,0,0.0056774616,1,0.0056774616
Improved MLP,0,0,0.4943118,1,0.0056881905,1,0.0056881905
Improved MLP,0,1,0.5056976,0,0.005697608,1,0.005697608
Improved MLP,0,1,0.5062108,0,0.006210804,1,0.006210804
Improved MLP,0,0,0.4937026,1,0.0062974095,1,0.0062974095
Improved MLP,0,0,0.493615,1,0.0063849986,1,0.0063849986
Improved MLP,0,1,0.50653243,0,0.0065324306,1,0.0065324306
Improved MLP,0,1,0.5066462,0,0.006646216,1,0.006646216
Improved MLP,0,1,0.5066723,0,0.0066723228,1,0.0066723228
Improved MLP,0,0,0.49326685,1,0.0067331493,1,0.0067331493
Improved MLP,1,1,0.50691813,1,0.0069181323,1,0.0069181323
Improved MLP,0,1,0.5074846,0,0.007484615,1,0.007484615
Improved MLP,0,1,0.5075784,0,0.007578373,1,0.007578373
Improved MLP,0,1,0.50773096,0,0.007730961,1,0.007730961
Improved MLP,0,1,0.50791484,0,0.007914841,1,0.007914841
Improved MLP,0,0,0.4914144,1,0.008585602,1,0.008585602
Improved MLP,1,0,0.4910758,0,0.008924186,1,0.008924186
Improved MLP,0,1,0.50943345,0,0.009433448,1,0.009433448
Improved MLP,0,1,0.50992507,0,0.009925067,1,0.009925067
Improved MLP,1,0,0.48986754,0,0.010132462,1,0.010132462
Improved MLP,0,1,0.5103744,0,0.010374427,1,0.010374427
Improved MLP,0,1,0.51065236,0,0.010652363,1,0.010652363
Improved MLP,0,1,0.5107803,0,0.010780275,1,0.010780275
Improved MLP,1,0,0.4891232,0,0.010876805,1,0.010876805
Improved MLP,0,0,0.48887268,1,0.011127323,1,0.011127323
Improved MLP,0,1,0.51115984,0,0.011159837,1,0.011159837
Improved MLP,0,1,0.5113065,0,0.011306524,1,0.011306524
Improved MLP,0,1,0.51176924,0,0.011769235,1,0.011769235
Improved MLP,0,1,0.51399237,0,0.013992369,1,0.013992369
Improved MLP,0,1,0.51406044,0,0.014060438,1,0.014060438
Improved MLP,0,0,0.48580095,1,0.014199048,1,0.014199048
Improved MLP,1,0,0.4857159,0,0.014284104,1,0.014284104
Improved MLP,0,1,0.5144314,0,0.014431417,1,0.014431417
Improved MLP,0,0,0.48553607,1,0.014463931,1,0.014463931
Improved MLP,0,1,0.5147326,0,0.014732599,1,0.014732599
Improved MLP,0,0,0.48510134,1,0.014898658,1,0.014898658
Improved MLP,0,0,0.48496142,1,0.01503858,1,0.01503858
Improved MLP,0,1,0.5150777,0,0.01507771,1,0.01507771
Improved MLP,0,1,0.5151248,0,0.015124798,1,0.015124798
Improved MLP,0,1,0.5153872,0,0.0153871775,1,0.0153871775
Improved MLP,0,0,0.48453847,1,0.015461534,1,0.015461534
Improved MLP,0,0,0.48423082,1,0.015769184,1,0.015769184
Improved MLP,0,0,0.48421824,1,0.01578176,1,0.01578176
Improved MLP,1,0,0.48323458,0,0.016765416,1,0.016765416
Improved MLP,0,1,0.51716405,0,0.017164052,1,0.017164052
Improved MLP,0,1,0.5172168,0,0.017216802,1,0.017216802
Improved MLP,0,0,0.48266003,1,0.017339975,1,0.017339975
Improved MLP,0,0,0.48248404,1,0.017515957,1,0.017515957
Improved MLP,0,0,0.48228955,1,0.017710447,1,0.017710447
Improved MLP,0,1,0.51775736,0,0.017757356,1,0.017757356
Improved MLP,0,1,0.51780134,0,0.017801344,1,0.017801344
Improved MLP,0,0,0.48216593,1,0.017834067,1,0.017834067
Improved MLP,0,1,0.5179104,0,0.01791042,1,0.01791042
Improved MLP,1,0,0.4819502,0,0.018049806,1,0.018049806
Improved MLP,0,0,0.4812284,1,0.018771589,1,0.018771589
Improved MLP,0,1,0.5188379,0,0.018837929,1,0.018837929
Improved MLP,0,0,0.48086867,1,0.019131333,1,0.019131333
Improved MLP,0,1,0.51921594,0,0.019215941,1,0.019215941
Improved MLP,0,1,0.5200376,0,0.020037591,1,0.020037591
Improved MLP,0,1,0.5200704,0,0.020070374,1,0.020070374
Improved MLP,0,1,0.52122456,0,0.021224558,1,0.021224558
Improved MLP,1,0,0.47837347,0,0.021626532,1,0.021626532
Improved MLP,0,1,0.5217096,0,0.021709621,1,0.021709621
Improved MLP,0,0,0.47825074,1,0.021749258,1,0.021749258
Improved MLP,0,0,0.47794047,1,0.02205953,1,0.02205953
Improved MLP,0,0,0.47768125,1,0.02231875,1,0.02231875
Improved MLP,0,1,0.5223984,0,0.022398412,1,0.022398412
Improved MLP,0,1,0.52248603,0,0.022486031,1,0.022486031
Improved MLP,0,0,0.47742313,1,0.022576869,1,0.022576869
Improved MLP,0,0,0.4773153,1,0.022684693,1,0.022684693
Improved MLP,0,0,0.4772351,1,0.022764891,1,0.022764891
Improved MLP,0,1,0.52279294,0,0.022792935,1,0.022792935
Improved MLP,0,0,0.47720435,1,0.022795647,1,0.022795647
Improved MLP,0,0,0.47703803,1,0.022961974,1,0.022961974
Improved MLP,0,1,0.5230686,0,0.023068607,1,0.023068607
Improved MLP,0,0,0.47675714,1,0.023242861,1,0.023242861
Improved MLP,1,1,0.5233219,1,0.023321927,1,0.023321927
Improved MLP,0,1,0.52359027,0,0.023590267,1,0.023590267
Improved MLP,0,0,0.47638488,1,0.023615122,1,0.023615122
Improved MLP,0,0,0.475322,1,0.024677992,1,0.024677992
Improved MLP,0,0,0.4750661,1,0.024933904,1,0.024933904
Improved MLP,0,0,0.4747536,1,0.025246412,1,0.025246412
Improved MLP,0,1,0.52543354,0,0.02543354,1,0.02543354
Improved MLP,0,0,0.47436133,1,0.02563867,1,0.02563867
Improved MLP,0,1,0.5256804,0,0.025680423,1,0.025680423
Improved MLP,0,1,0.5260558,0,0.026055813,1,0.026055813
Improved MLP,0,0,0.47394082,1,0.02605918,1,0.02605918
Improved MLP,0,1,0.52610135,0,0.02610135,1,0.02610135
Improved MLP,0,1,0.5266806,0,0.026680589,1,0.026680589
Improved MLP,0,0,0.47323242,1,0.026767582,1,0.026767582
Improved MLP,0,0,0.4731259,1,0.026874095,1,0.026874095
Improved MLP,0,1,0.5276187,0,0.027618706,1,0.027618706
Improved MLP,0,0,0.47167882,1,0.028321177,1,0.028321177
Improved MLP,0,1,0.52844924,0,0.028449237,1,0.028449237
Improved MLP,0,0,0.47121552,1,0.028784484,1,0.028784484
Improved MLP,0,0,0.4708806,1,0.029119402,1,0.029119402
Improved MLP,0,0,0.47059333,1,0.029406667,1,0.029406667
Improved MLP,0,0,0.47041366,1,0.029586345,1,0.029586345
Improved MLP,0,0,0.46989512,1,0.030104876,1,0.030104876
Improved MLP,0,1,0.53022975,0,0.030229747,1,0.030229747
Improved MLP,0,1,0.5302454,0,0.030245423,1,0.030245423
Improved MLP,0,1,0.53036386,0,0.030363858,1,0.030363858
Improved MLP,0,0,0.46950993,1,0.03049007,1,0.03049007
Improved MLP,0,1,0.530503,0,0.030502975,1,0.030502975
Improved MLP,0,0,0.46944907,1,0.030550927,1,0.030550927
Improved MLP,0,1,0.53110486,0,0.031104863,1,0.031104863
Improved MLP,0,1,0.53117657,0,0.031176567,1,0.031176567
Improved MLP,0,0,0.46870586,1,0.031294137,1,0.031294137
Improved MLP,0,1,0.53182924,0,0.031829238,1,0.031829238
Improved MLP,0,1,0.5319354,0,0.031935394,1,0.031935394
Improved MLP,0,1,0.5324769,0,0.032476902,1,0.032476902
Improved MLP,0,1,0.5326024,0,0.03260243,1,0.03260243
Improved MLP,0,1,0.5331602,0,0.03316021,1,0.03316021
Improved MLP,0,1,0.53328997,0,0.03328997,1,0.03328997
Improved MLP,0,0,0.46665233,1,0.033347666,1,0.033347666
Improved MLP,0,1,0.5336877,0,0.03368771,1,0.03368771
Improved MLP,0,0,0.46607167,1,0.033928335,1,0.033928335
Improved MLP,1,1,0.5343338,1,0.034333825,1,0.034333825
Improved MLP,0,0,0.46558037,1,0.034419626,1,0.034419626
Improved MLP,0,0,0.46552315,1,0.034476846,1,0.034476846
Improved MLP,1,1,0.5346205,1,0.034620523,1,0.034620523
Improved MLP,0,0,0.4653484,1,0.034651607,1,0.034651607
Improved MLP,0,0,0.46480808,1,0.035191923,1,0.035191923
Improved MLP,0,0,0.4642749,1,0.035725087,1,0.035725087
Improved MLP,0,1,0.5360496,0,0.036049604,1,0.036049604
Improved MLP,0,1,0.536255,0,0.036255002,1,0.036255002
Improved MLP,0,0,0.46337184,1,0.036628157,1,0.036628157
Improved MLP,0,0,0.4633454,1,0.03665459,1,0.03665459
Improved MLP,0,1,0.5369476,0,0.036947608,1,0.036947608
Improved MLP,1,1,0.5373054,1,0.037305415,1,0.037305415
Improved MLP,0,0,0.46261704,1,0.03738296,1,0.03738296
Improved MLP,0,0,0.46244955,1,0.03755045,1,0.03755045
Improved MLP,0,0,0.46239498,1,0.037605017,1,0.037605017
Improved MLP,0,1,0.53769207,0,0.03769207,1,0.03769207
Improved MLP,0,1,0.5382067,0,0.038206697,1,0.038206697
Improved MLP,0,1,0.53847003,0,0.03847003,1,0.03847003
Improved MLP,0,1,0.53857476,0,0.038574755,1,0.038574755
Improved MLP,0,0,0.46136814,1,0.038631856,1,0.038631856
Improved MLP,0,0,0.46113762,1,0.038862377,1,0.038862377
Improved MLP,1,0,0.46057412,0,0.03942588,1,0.03942588
Improved MLP,0,1,0.53946185,0,0.03946185,1,0.03946185
Improved MLP,0,0,0.46047586,1,0.039524138,1,0.039524138
Improved MLP,0,1,0.5396106,0,0.039610624,1,0.039610624
Improved MLP,0,1,0.54016626,0,0.04016626,1,0.04016626
Improved MLP,0,0,0.45975494,1,0.040245056,1,0.040245056
Improved MLP,0,0,0.45840895,1,0.04159105,1,0.04159105
Improved MLP,0,0,0.4582981,1,0.041701913,1,0.041701913
Improved MLP,0,0,0.45824745,1,0.041752547,1,0.041752547
Improved MLP,0,1,0.5422803,0,0.042280316,1,0.042280316
Improved MLP,0,0,0.45728523,1,0.042714775,1,0.042714775
Improved MLP,0,0,0.45724472,1,0.042755276,1,0.042755276
Improved MLP,0,0,0.45689094,1,0.04310906,1,0.04310906
Improved MLP,0,0,0.45638883,1,0.04361117,1,0.04361117
Improved MLP,0,1,0.5438159,0,0.04381591,1,0.04381591
Improved MLP,0,1,0.54508096,0,0.04508096,1,0.04508096
Improved MLP,0,1,0.5451172,0,0.0451172,1,0.0451172
Improved MLP,1,0,0.45383087,0,0.046169132,1,0.046169132
Improved MLP,0,1,0.5462407,0,0.046240687,1,0.046240687
Improved MLP,0,0,0.45357135,1,0.04642865,1,0.04642865
Improved MLP,0,1,0.54687154,0,0.046871543,1,0.046871543
Improved MLP,0,0,0.45280188,1,0.047198117,1,0.047198117
Improved MLP,1,0,0.45248085,0,0.047519147,1,0.047519147
Improved MLP,0,1,0.54760414,0,0.047604144,1,0.047604144
Improved MLP,0,1,0.5479445,0,0.047944486,1,0.047944486
Improved MLP,0,1,0.54813695,0,0.04813695,1,0.04813695
Improved MLP,0,0,0.45154598,1,0.048454016,1,0.048454016
Improved MLP,0,0,0.4514297,1,0.048570305,1,0.048570305
Improved MLP,0,0,0.45113558,1,0.048864424,1,0.048864424
Improved MLP,0,1,0.54946816,0,0.04946816,1,0.04946816
Improved MLP,0,0,0.45003712,1,0.04996288,1,0.04996288
Improved MLP,0,0,0.44962567,1,0.05037433,1,0.05037433
Improved MLP,0,1,0.55053204,0,0.050532043,1,0.050532043
Improved MLP,0,0,0.449321,1,0.050679,1,0.050679
Improved MLP,0,0,0.4492294,1,0.05077061,1,0.05077061
Improved MLP,1,1,0.55131924,1,0.05131924,1,0.05131924
Improved MLP,0,0,0.44806027,1,0.051939726,1,0.051939726
Improved MLP,0,1,0.5519558,0,0.05195582,1,0.05195582
Improved MLP,0,0,0.44775593,1,0.052244067,1,0.052244067
Improved MLP,0,0,0.4473739,1,0.052626103,1,0.052626103
Improved MLP,0,0,0.44689518,1,0.053104818,1,0.053104818
Improved MLP,0,0,0.4468819,1,0.05311811,1,0.05311811
Improved MLP,1,0,0.4468183,0,0.053181708,1,0.053181708
Improved MLP,1,0,0.44634652,0,0.05365348,1,0.05365348
Improved MLP,0,0,0.44597355,1,0.054026455,1,0.054026455
Improved MLP,0,1,0.55424273,0,0.05424273,1,0.05424273
Improved MLP,0,1,0.5543579,0,0.054357886,1,0.054357886
Improved MLP,0,0,0.44529486,1,0.054705143,1,0.054705143
Improved MLP,0,0,0.44472167,1,0.05527833,1,0.05527833
Improved MLP,0,1,0.55532646,0,0.05532646,1,0.05532646
Improved MLP,0,0,0.444416,1,0.055584013,1,0.055584013
Improved MLP,0,1,0.5557417,0,0.055741727,1,0.055741727
Improved MLP,0,0,0.44419435,1,0.055805653,1,0.055805653
Improved MLP,0,0,0.44395122,1,0.05604878,1,0.05604878
Improved MLP,0,0,0.4437124,1,0.056287587,1,0.056287587
Improved MLP,0,0,0.44343096,1,0.05656904,1,0.05656904
Improved MLP,0,1,0.55678546,0,0.056785464,1,0.056785464
Improved MLP,0,0,0.44313943,1,0.056860566,1,0.056860566
Improved MLP,0,0,0.44247857,1,0.057521433,1,0.057521433
Improved MLP,0,1,0.55759513,0,0.057595134,1,0.057595134
Improved MLP,0,1,0.5576706,0,0.057670593,1,0.057670593
Improved MLP,0,0,0.4421573,1,0.0578427,1,0.0578427
Improved MLP,0,1,0.5579889,0,0.057988882,1,0.057988882
Improved MLP,0,1,0.5581365,0,0.058136523,1,0.058136523
Improved MLP,0,1,0.5588572,0,0.058857203,1,0.058857203
Improved MLP,0,0,0.4410389,1,0.058961093,1,0.058961093
Improved MLP,0,0,0.44045377,1,0.059546232,1,0.059546232
Improved MLP,0,0,0.44039625,1,0.05960375,1,0.05960375
Improved MLP,0,0,0.44012856,1,0.059871435,1,0.059871435
Improved MLP,0,0,0.43954438,1,0.06045562,1,0.06045562
Improved MLP,0,0,0.43919477,1,0.06080523,1,0.06080523
Improved MLP,0,0,0.43892562,1,0.061074376,1,0.061074376
Improved MLP,0,0,0.43777093,1,0.062229067,1,0.062229067
Improved MLP,0,0,0.43774712,1,0.06225288,1,0.06225288
Improved MLP,1,0,0.43771017,0,0.062289834,1,0.062289834
Improved MLP,0,0,0.43769592,1,0.06230408,1,0.06230408
Improved MLP,1,1,0.5623553,1,0.06235528,1,0.06235528
Improved MLP,0,1,0.56284535,0,0.06284535,1,0.06284535
Improved MLP,0,0,0.43675146,1,0.063248545,1,0.063248545
Improved MLP,0,0,0.43630874,1,0.06369126,1,0.06369126
Improved MLP,0,1,0.5640945,0,0.064094484,1,0.064094484
Improved MLP,1,1,0.56440914,1,0.06440914,1,0.06440914
Improved MLP,0,1,0.5646358,0,0.06463581,1,0.06463581
Improved MLP,0,0,0.4351806,1,0.064819396,1,0.064819396
Improved MLP,0,0,0.4350202,1,0.06497979,1,0.06497979
Improved MLP,0,0,0.434975,1,0.065025,1,0.065025
Improved MLP,0,0,0.43495813,1,0.06504187,1,0.06504187
Improved MLP,0,1,0.5652718,0,0.065271795,1,0.065271795
Improved MLP,0,1,0.56558126,0,0.06558126,1,0.06558126
Improved MLP,0,0,0.43403095,1,0.06596905,1,0.06596905
Improved MLP,0,1,0.56616306,0,0.06616306,1,0.06616306
Improved MLP,0,1,0.5662909,0,0.066290915,1,0.066290915
Improved MLP,0,1,0.56632715,0,0.066327155,1,0.066327155
Improved MLP,1,0,0.43225583,0,0.067744166,1,0.067744166
