y_true,y_pred,prob_yes,correct,uncertainty_distance,is_ambiguous
1,1,0.50020385,1,0.00020384789,1
0,1,0.500246,0,0.00024598837,1
0,1,0.5003058,0,0.00030577183,1
1,1,0.500373,1,0.00037300587,1
0,1,0.50056887,0,0.00056886673,1
1,1,0.5005729,1,0.00057291985,1
0,0,0.49934924,1,0.0006507635,1
0,1,0.5006727,0,0.000672698,1
0,0,0.49834135,1,0.0016586483,1
0,0,0.4983167,1,0.0016832948,1
0,0,0.49819374,1,0.0018062592,1
0,1,0.5021708,0,0.0021708012,1
1,1,0.5024345,1,0.002434492,1
1,1,0.50313663,1,0.0031366348,1
1,1,0.50343883,1,0.0034388304,1
1,1,0.5034703,1,0.0034703016,1
1,1,0.50455356,1,0.0045535564,1
1,1,0.5046661,1,0.00466609,1
1,1,0.5047765,1,0.004776478,1
1,1,0.50481737,1,0.0048173666,1
