y_true,y_pred,prob_yes,correct,uncertainty_distance,is_ambiguous
0,1,0.5001012,0,0.00010120869,1
0,1,0.50027466,0,0.0002746582,1
0,0,0.4994952,1,0.00050479174,1
0,0,0.49924472,1,0.00075528026,1
1,0,0.49917746,0,0.0008225441,1
0,0,0.49910742,1,0.00089257956,1
1,1,0.5016602,1,0.0016602278,1
1,1,0.5017557,1,0.0017557144,1
0,0,0.49786216,1,0.0021378398,1
0,1,0.5022416,0,0.0022416115,1
0,1,0.5022953,0,0.0022953153,1
0,0,0.49760556,1,0.0023944378,1
0,1,0.5025094,0,0.0025094151,1
0,0,0.49736613,1,0.0026338696,1
0,0,0.49711892,1,0.00288108,1
0,1,0.50311077,0,0.0031107664,1
0,1,0.5035489,0,0.0035489202,1
1,1,0.5040293,1,0.004029274,1
0,0,0.4953652,1,0.0046347976,1
0,1,0.5048379,0,0.0048378706,1
