y_true,y_pred,prob_yes,correct,uncertainty_distance,is_ambiguous
1,0,0.49996057,0,3.9428473e-05,1
1,0,0.4988498,0,0.0011501908,1
0,1,0.5018449,0,0.001844883,1
1,0,0.49768972,0,0.002310276,1
1,0,0.49728414,0,0.0027158558,1
0,0,0.49706784,1,0.002932161,1
1,1,0.50312483,1,0.003124833,1
0,1,0.5032659,0,0.0032659173,1
0,1,0.50560564,0,0.005605638,1
1,0,0.49437448,0,0.005625516,1
0,1,0.50617397,0,0.0061739683,1
0,1,0.50627434,0,0.0062743425,1
1,0,0.49312198,0,0.0068780184,1
1,0,0.4929577,0,0.007042289,1
0,1,0.50727224,0,0.0072722435,1
1,0,0.4922376,0,0.0077624023,1
1,0,0.4921969,0,0.0078031123,1
0,0,0.4921112,1,0.007888794,1
1,1,0.50790757,1,0.007907569,1
1,0,0.49138528,0,0.008614719,1
